Transaction_ID,Items
Trans1,"Hammer, Electric Drill, Screwdriver Set, Paint Roller"
Trans2,"Ladder, Extension Cord"
Trans3,"Electric Drill, Screwdriver Set, Tool Box, Safety Glasses, Ladder"
Trans4,"Ladder, Paint Roller, Safety Glasses, Power Saw"
Trans5,"Hammer, Screwdriver Set, Tape Measure"
Trans6,"Power Saw, Extension Cord"
Trans7,"Electric Drill, Hammer, Ladder, Power Saw"
Trans8,"Safety Glasses, Paint Roller, Tool Box"
Trans9,"Hammer, Electric Drill, Tape Measure, Safety Glasses, Tool Box"
Trans10,"Power Saw, Extension Cord, Safety Glasses"
Trans11,"Screwdriver Set, Tape Measure"
Trans12,"Hammer, Electric Drill, Ladder, Tool Box, Paint Roller, Safety Glasses"
Trans13,"Tool Box, Power Saw, Ladder"
Trans14,"Tape Measure, Extension Cord"
Trans15,"Screwdriver Set, Ladder, Power Saw, Tool Box"
Trans16,"Hammer, Paint Roller, Safety Glasses"
Trans17,"Electric Drill, Paint Roller, Tool Box, Ladder"
Trans18,"Tool Box, Ladder, Power Saw"
Trans19,"Hammer, Screwdriver Set"
Trans20,"Power Saw, Tape Measure, Ladder, Safety Glasses, Tool Box"
